,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
299,Indian express ,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),HYD,BLR,23:05,09:00,09,1000,4.0,A/C,no,no,yes
300,Orange Tours and Travels Grand ,A/C Sleeper (2+1),HYD,BLR,18:55,04:45,09,1300,3.4,A/C,no,no,yes
301,V Kaveri Travels ,Non A/C Seater / Sleeper (2+1),HYD,BLR,22:00,08:30,10,800,3.3,NON A/C,yes,no,yes
302,Kallada Travels (Suresh Kallada) ,A/C Sleeper (2+1),HYD,BLR,13:10,23:15,10,1400,3.6,A/C,no,no,yes
303,Kallada Travels (Suresh Kallada) ,A/C Sleeper (2+1),HYD,BLR,16:00,02:00,10,1400,3.6,A/C,no,no,yes
304,Saleem Travels ,NON A/C Sleeper (2+1),HYD,BLR,21:50,07:45,09,1150,3.4,NON A/C,no,no,yes
305,Orange Tours And Travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,20:40,06:45,10,1020,3.2,A/C,no,no,yes
306,GEE PEE TRAVELS ,NON A/C Seater Push Back (2+2),HYD,BLR,20:30,08:40,12,700,3.2,NON A/C,yes,no,no
307,Orange Tours And Travels ,A/C Sleeper (2+1),HYD,BLR,22:20,09:50,11,1200,3.2,A/C,no,no,yes
308,Kallada Travels (Suresh Kallada) ,Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),HYD,BLR,15:00,00:20,09,900,3.3,A/C,no,yes,no
309,SRS Travels ,Scania Multi-Axle AC Semi Sleeper (2+2),HYD,BLR,23:30,07:20,07,1200,3.2,A/C,no,yes,no
310,Bmcc Travels ,A/C Sleeper (2+1),HYD,BLR,18:50,06:05,11,1220,3.1,A/C,no,no,yes
311,Orange Tours and Travels Business Class ,A/C Semi Sleeper (2+1),HYD,BLR,20:20,07:00,10,1000,3.2,A/C,no,yes,no
312,Orange Tours And Travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,22:20,07:50,09,1300,3.2,A/C,no,no,yes
313,SLC Road Lines ,A/C Sleeper (2+1),HYD,BLR,22:45,08:10,09,1659,3.7,A/C,no,no,yes
314,Bmcc Travels ,Non A/C Seater / Sleeper (2+1),HYD,BLR,22:05,08:05,10,600,3.0,NON A/C,yes,no,yes
315,IntrCity SmartBus ,AC Sleeper (2+1),HYD,BLR,21:25,09:00,11,1100,4.6,A/C,no,no,yes
316,Jabbar  Travels ,Bharat Benz A/C Sleeper (2+1),HYD,BLR,19:20,07:20,12,1490,4.8,A/C,no,no,yes
317,Saleem Travels ,NON A/C Semi Sleeper (2+2),HYD,BLR,19:05,06:01,10,700,3.0,NON A/C,no,yes,no
318,Orange Tours And Travels ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,23:20,09:00,09,1400,3.0,A/C,no,no,yes
319,Orange Tours And Travels ,A/C Sleeper (2+1),HYD,BLR,22:20,08:30,10,1200,3.0,A/C,no,no,yes
320,Kallada Travels (Suresh Kallada) ,A/C Sleeper (2+1),HYD,BLR,15:00,01:00,10,1400,3.1,A/C,no,no,yes
321,Orange Tours and Travels Platinum ,Volvo Multi-Axle Sleeper A/C (2+1),HYD,BLR,23:20,08:15,08,1300,2.9,A/C,no,no,yes
322,Orange Tours And Travels ,NON A/C Sleeper (2+1),HYD,BLR,20:40,07:15,10,1000,2.9,NON A/C,no,no,yes
323,Orange Tours and Travels Platinum ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,17:50,03:35,09,1300,2.9,A/C,no,no,yes
324,Orange Tours And Travels ,NON A/C Seater/ Sleeper (2+1),HYD,BLR,20:50,08:00,11,800,2.8,NON A/C,yes,no,yes
325,Swamy Ayyappa Travels ,A/C Sleeper (2+1),HYD,BLR,15:20,01:05,09,1550,3.8,A/C,no,no,yes
326,Orange Tours And Travels ,Bharat Benz A/C Sleeper (2+1),HYD,BLR,15:50,02:30,10,1200,3.5,A/C,no,no,yes
327,Bharathi  Travels ,Non A/C Seater / Sleeper (2+1),HYD,BLR,21:00,08:30,11,1500,2.7,NON A/C,yes,no,yes
328,Kaleswari Travels ,Non A/C Seater / Sleeper (2+1),HYD,BLR,19:45,07:45,12,649,2.7,NON A/C,yes,no,yes
329,Orange Tours and Travels Platinum ,Scania AC Multi Axle Sleeper (2+1),HYD,BLR,14:55,00:30,09,1300,2.9,A/C,no,no,yes
330,Orange Tours And Travels ,Bharat Benz A/C Sleeper (2+1),HYD,BLR,23:35,10:20,10,1100,2.6,A/C,no,no,yes
331,Orange Tours and Travels Grand ,A/C Sleeper (2+1),HYD,BLR,22:20,08:20,10,1200,2.6,A/C,no,no,yes
332,Morning Star Travels ,A/C Sleeper (2+1),HYD,BLR,21:55,07:50,09,1690,2.9,A/C,no,no,yes
